Code NL/EN,Translate EN, Code Group (Theme/Subtheme) C,Comment (NL)
Aanbeveling voor vernieuwing,Recommendation for renewal,,
Aanbevelingen,Recommendations,,
Aanbevelingen aan de overheid,Recommendations to the government,,
Aanbod uitbreiding,Offer expansion,,
Aandacht,Attention,,
Aandacht en waarneming,Attention and perception,,
Aandacht voor detail,Attention to detail,,
Aandacht voor instroom,Attention to influx,,
Aandachts- en concentratieproblemen,Attention and concentration problems,,
Aandachtsproblemen,Attention problems,,
Aangelegenheden van de universiteit,University affairs,,
Aangepaste werkplek,Adapted workplace,,
Aanmoediging,Encouragement,,
Aanpak,Approach,,
Aanpassen aan omstandigheden,Adapting to circumstances,,
Aanpassing,Adaptation,,
Aanpassing aan omgeving,Adaptation to the environment,,
Aanpassing aan omgevingsfactoren,Adaptation to environmental factors,,
Aanpassing aan omstandigheden,Adaptation to circumstances,,
Aanpassing aan verandering,Adapting to change,,
Aanpassingen in het dagelijks leven,Adjustments in daily life,,
Aanpassingen op de werkvloer,Adjustments in the workplace,,
Aanpassingsgedrag,Adaptive behavior,,
Aanpassingsstrategieën,Adaptation strategies,,
Aanpassingsvermogen,Adaptability,,
Aansluiting bij behoeften,Matching needs,,
Aansluiting bij interesses,Connection to interests,,
Aansluiting op hulpvraag,Connection to request for help,,
Aansprekende communicatie,Appealing communication,,
Aantrekkelijkheid,Attractiveness,,
Aanvullende inzichten,Additional insights,,
Aanzetten tot sociaal contact,Encouraging social contact,,
Aardbeving,Earthquake,,
Aardwarmte,Geothermal,,
Academisch leiderschap,Academic leadership,,
Academische ambities,Academic ambitions,,
Academische betrokkenheid,Academic involvement,,
Academische bijdrage,Academic contribution,,
Academische carrière,Academic career,,
Academische druk,Academic pressure,,
Academische motivatie,Academic motivation,,
Academische prestaties,Academic performance,,
Academische resultaten,Academic results,,
Academische rol,Academic role,,
Academische samenwerking,Academic collaboration,,
Academische waardering,Academic Appreciation,,
Acceptatie,Acceptance,,
Acceptatie van emoties,Acceptance of emotions,,
Acceptatie van gevoelens,Acceptance of feelings,,
Actie,Action,,
Actie en resultaat,Action and result,,
Actie en resultaten,Action and results,,
Actie ondernemen,Action,,
Actief burgerschap,Active citizenship,,
Actief gedrag,Active behavior,,
Actief leren,Active learning,,
Actief luisteren,Active listening,,
Actiegericht,Action-oriented,,
Actiegerichtheid,Action-orientation,,
Actiemodus,Action mode,,
Actieprogramma's,Action programmes,,
Actieve betrokkenheid,Active involvement,,
Actieve deelname,Active participation,,
Actieve houding,Active posture,,
Actieve leerstrategieën,Active learning strategies,,
Actieve participatie,Active participation,,
Actieve rol,Active role,,
Activeren,Activate,,
Activisme,Activism,,
Activiteiten,Activities,,
Activiteiten buiten,Outdoor activities,,
Activiteiten ter ontspanning,Activities for relaxation,,
