"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Deaths
	"Alabama"	"01"	"2016"	"2016"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	16
	"Arizona"	"04"	"2016"	"2016"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	25
	"Arizona"	"04"	"2016"	"2016"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	21
	"Arizona"	"04"	"2016"	"2016"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	24
	"Arizona"	"04"	"2016"	"2016"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	19
	"Arizona"	"04"	"2016"	"2016"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	16
	"Arizona"	"04"	"2017"	"2017"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	17
	"Arizona"	"04"	"2017"	"2017"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	19
	"Arizona"	"04"	"2017"	"2017"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	29
	"Arizona"	"04"	"2017"	"2017"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	19
	"Arizona"	"04"	"2018"	"2018"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	25
	"Arizona"	"04"	"2018"	"2018"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	20
	"Arizona"	"04"	"2018"	"2018"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	19
	"Arizona"	"04"	"2018"	"2018"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	16
	"Arizona"	"04"	"2019"	"2019"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	21
	"Arizona"	"04"	"2019"	"2019"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	22
	"Arizona"	"04"	"2019"	"2019"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	20
	"Arizona"	"04"	"2019"	"2019"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	19
	"Arizona"	"04"	"2020"	"2020"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	21
	"Arizona"	"04"	"2020"	"2020"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	19
	"Arizona"	"04"	"2020"	"2020"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	22
	"Arizona"	"04"	"2020"	"2020"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	16
	"Arizona"	"04"	"2020"	"2020"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	17
	"Arizona"	"04"	"2020"	"2020"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	24
	"California"	"06"	"2016"	"2016"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	34
	"California"	"06"	"2016"	"2016"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	24
	"California"	"06"	"2016"	"2016"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	28
	"California"	"06"	"2016"	"2016"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	30
	"California"	"06"	"2016"	"2016"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	53
	"California"	"06"	"2016"	"2016"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	56
	"California"	"06"	"2016"	"2016"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	53
	"California"	"06"	"2016"	"2016"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	77
	"California"	"06"	"2016"	"2016"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	56
	"California"	"06"	"2016"	"2016"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	73
	"California"	"06"	"2016"	"2016"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	62
	"California"	"06"	"2016"	"2016"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	81
	"California"	"06"	"2016"	"2016"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	55
	"California"	"06"	"2016"	"2016"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	81
	"California"	"06"	"2017"	"2017"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	16
	"California"	"06"	"2017"	"2017"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	19
	"California"	"06"	"2017"	"2017"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	27
	"California"	"06"	"2017"	"2017"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	27
	"California"	"06"	"2017"	"2017"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	45
	"California"	"06"	"2017"	"2017"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	44
	"California"	"06"	"2017"	"2017"	"65-69 years"	"65-69"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	16
	"California"	"06"	"2017"	"2017"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	54
	"California"	"06"	"2017"	"2017"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	53
	"California"	"06"	"2017"	"2017"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	80
	"California"	"06"	"2017"	"2017"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	51
	"California"	"06"	"2017"	"2017"	"75-79 years"	"75-79"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	18
	"California"	"06"	"2017"	"2017"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	100
	"California"	"06"	"2017"	"2017"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	54
	"California"	"06"	"2017"	"2017"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	69
	"California"	"06"	"2017"	"2017"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	59
	"California"	"06"	"2017"	"2017"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	79
	"California"	"06"	"2018"	"2018"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	28
	"California"	"06"	"2018"	"2018"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	34
	"California"	"06"	"2018"	"2018"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	32
	"California"	"06"	"2018"	"2018"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	29
	"California"	"06"	"2018"	"2018"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	51
	"California"	"06"	"2018"	"2018"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	58
	"California"	"06"	"2018"	"2018"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	59
	"California"	"06"	"2018"	"2018"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	92
	"California"	"06"	"2018"	"2018"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	49
	"California"	"06"	"2018"	"2018"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	86
	"California"	"06"	"2018"	"2018"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	48
	"California"	"06"	"2018"	"2018"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	78
	"California"	"06"	"2018"	"2018"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	67
	"California"	"06"	"2018"	"2018"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	79
	"California"	"06"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	17
	"California"	"06"	"2019"	"2019"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	22
	"California"	"06"	"2019"	"2019"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	34
	"California"	"06"	"2019"	"2019"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	21
	"California"	"06"	"2019"	"2019"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	42
	"California"	"06"	"2019"	"2019"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	39
	"California"	"06"	"2019"	"2019"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	65
	"California"	"06"	"2019"	"2019"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	53
	"California"	"06"	"2019"	"2019"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	16
	"California"	"06"	"2019"	"2019"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	71
	"California"	"06"	"2019"	"2019"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	47
	"California"	"06"	"2019"	"2019"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	80
	"California"	"06"	"2019"	"2019"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	56
	"California"	"06"	"2019"	"2019"	"80-84 years"	"80-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	16
	"California"	"06"	"2019"	"2019"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	87
	"California"	"06"	"2019"	"2019"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	80
	"California"	"06"	"2019"	"2019"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	85
	"California"	"06"	"2020"	"2020"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	24
	"California"	"06"	"2020"	"2020"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	30
	"California"	"06"	"2020"	"2020"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	32
	"California"	"06"	"2020"	"2020"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	27
	"California"	"06"	"2020"	"2020"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	40
	"California"	"06"	"2020"	"2020"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	67
	"California"	"06"	"2020"	"2020"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	61
	"California"	"06"	"2020"	"2020"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	20
	"California"	"06"	"2020"	"2020"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	76
	"California"	"06"	"2020"	"2020"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	58
	"California"	"06"	"2020"	"2020"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	87
	"California"	"06"	"2020"	"2020"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	65
	"California"	"06"	"2020"	"2020"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	68
	"California"	"06"	"2020"	"2020"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	79
	"California"	"06"	"2020"	"2020"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	75
	"Colorado"	"08"	"2016"	"2016"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	22
	"Colorado"	"08"	"2018"	"2018"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	21
	"Colorado"	"08"	"2018"	"2018"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	17
	"Colorado"	"08"	"2019"	"2019"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	17
	"Colorado"	"08"	"2020"	"2020"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	18
	"Connecticut"	"09"	"2019"	"2019"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	16
	"Florida"	"12"	"2016"	"2016"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	17
	"Florida"	"12"	"2016"	"2016"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	19
	"Florida"	"12"	"2016"	"2016"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	28
	"Florida"	"12"	"2016"	"2016"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	24
	"Florida"	"12"	"2016"	"2016"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	30
	"Florida"	"12"	"2016"	"2016"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	45
	"Florida"	"12"	"2016"	"2016"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	65
	"Florida"	"12"	"2016"	"2016"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	31
	"Florida"	"12"	"2016"	"2016"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	81
	"Florida"	"12"	"2016"	"2016"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	45
	"Florida"	"12"	"2016"	"2016"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	75
	"Florida"	"12"	"2016"	"2016"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	42
	"Florida"	"12"	"2016"	"2016"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	63
	"Florida"	"12"	"2016"	"2016"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	56
	"Florida"	"12"	"2016"	"2016"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	71
	"Florida"	"12"	"2017"	"2017"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	24
	"Florida"	"12"	"2017"	"2017"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	25
	"Florida"	"12"	"2017"	"2017"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	21
	"Florida"	"12"	"2017"	"2017"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	39
	"Florida"	"12"	"2017"	"2017"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	28
	"Florida"	"12"	"2017"	"2017"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	63
	"Florida"	"12"	"2017"	"2017"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	48
	"Florida"	"12"	"2017"	"2017"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	64
	"Florida"	"12"	"2017"	"2017"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	47
	"Florida"	"12"	"2017"	"2017"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	90
	"Florida"	"12"	"2017"	"2017"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	43
	"Florida"	"12"	"2017"	"2017"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	59
	"Florida"	"12"	"2017"	"2017"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	68
	"Florida"	"12"	"2017"	"2017"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	61
	"Florida"	"12"	"2018"	"2018"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	25
	"Florida"	"12"	"2018"	"2018"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	31
	"Florida"	"12"	"2018"	"2018"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	33
	"Florida"	"12"	"2018"	"2018"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	62
	"Florida"	"12"	"2018"	"2018"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	46
	"Florida"	"12"	"2018"	"2018"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	71
	"Florida"	"12"	"2018"	"2018"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	46
	"Florida"	"12"	"2018"	"2018"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	79
	"Florida"	"12"	"2018"	"2018"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	52
	"Florida"	"12"	"2018"	"2018"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	83
	"Florida"	"12"	"2018"	"2018"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	60
	"Florida"	"12"	"2018"	"2018"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	74
	"Florida"	"12"	"2019"	"2019"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	22
	"Florida"	"12"	"2019"	"2019"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	41
	"Florida"	"12"	"2019"	"2019"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	39
	"Florida"	"12"	"2019"	"2019"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	61
	"Florida"	"12"	"2019"	"2019"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	55
	"Florida"	"12"	"2019"	"2019"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	58
	"Florida"	"12"	"2019"	"2019"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	47
	"Florida"	"12"	"2019"	"2019"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	95
	"Florida"	"12"	"2019"	"2019"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	38
	"Florida"	"12"	"2019"	"2019"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	82
	"Florida"	"12"	"2019"	"2019"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	47
	"Florida"	"12"	"2019"	"2019"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	78
	"Florida"	"12"	"2020"	"2020"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	17
	"Florida"	"12"	"2020"	"2020"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	31
	"Florida"	"12"	"2020"	"2020"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	32
	"Florida"	"12"	"2020"	"2020"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	47
	"Florida"	"12"	"2020"	"2020"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	41
	"Florida"	"12"	"2020"	"2020"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	87
	"Florida"	"12"	"2020"	"2020"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	78
	"Florida"	"12"	"2020"	"2020"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	93
	"Florida"	"12"	"2020"	"2020"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	57
	"Florida"	"12"	"2020"	"2020"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	79
	"Florida"	"12"	"2020"	"2020"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	63
	"Florida"	"12"	"2020"	"2020"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	73
	"Georgia"	"13"	"2016"	"2016"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	16
	"Georgia"	"13"	"2016"	"2016"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	16
	"Georgia"	"13"	"2016"	"2016"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	28
	"Georgia"	"13"	"2016"	"2016"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	16
	"Georgia"	"13"	"2017"	"2017"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	17
	"Georgia"	"13"	"2017"	"2017"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	17
	"Georgia"	"13"	"2017"	"2017"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	21
	"Georgia"	"13"	"2017"	"2017"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	17
	"Georgia"	"13"	"2017"	"2017"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	18
	"Georgia"	"13"	"2018"	"2018"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	16
	"Georgia"	"13"	"2018"	"2018"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	21
	"Georgia"	"13"	"2018"	"2018"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	23
	"Georgia"	"13"	"2019"	"2019"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	18
	"Georgia"	"13"	"2019"	"2019"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	23
