"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Deaths
	"Arizona"	"04"	"2021"	"2021"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	17
	"Arizona"	"04"	"2021"	"2021"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	18
	"Arizona"	"04"	"2021"	"2021"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	23
	"Arizona"	"04"	"2021"	"2021"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	35
	"Arizona"	"04"	"2021"	"2021"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	18
	"Arizona"	"04"	"2021"	"2021"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	16
	"Arizona"	"04"	"2021"	"2021"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	22
	"California"	"06"	"2021"	"2021"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	16
	"California"	"06"	"2021"	"2021"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	22
	"California"	"06"	"2021"	"2021"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	38
	"California"	"06"	"2021"	"2021"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	36
	"California"	"06"	"2021"	"2021"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	27
	"California"	"06"	"2021"	"2021"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	70
	"California"	"06"	"2021"	"2021"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	58
	"California"	"06"	"2021"	"2021"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	17
	"California"	"06"	"2021"	"2021"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	98
	"California"	"06"	"2021"	"2021"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	52
	"California"	"06"	"2021"	"2021"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	99
	"California"	"06"	"2021"	"2021"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	55
	"California"	"06"	"2021"	"2021"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	98
