"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Deaths
	"California"	"06"	"1999"	"1999"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	26
	"California"	"06"	"1999"	"1999"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	24
	"California"	"06"	"1999"	"1999"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	23
	"California"	"06"	"1999"	"1999"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	27
	"California"	"06"	"1999"	"1999"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	22
	"California"	"06"	"1999"	"1999"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	40
	"California"	"06"	"1999"	"1999"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	27
	"California"	"06"	"1999"	"1999"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	64
	"California"	"06"	"1999"	"1999"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	44
	"California"	"06"	"1999"	"1999"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	51
	"California"	"06"	"1999"	"1999"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	34
	"California"	"06"	"1999"	"1999"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	45
	"California"	"06"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	37
	"California"	"06"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	31
	"California"	"06"	"2000"	"2000"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	17
	"California"	"06"	"2000"	"2000"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	16
	"California"	"06"	"2000"	"2000"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	21
	"California"	"06"	"2000"	"2000"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	22
	"California"	"06"	"2000"	"2000"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	26
	"California"	"06"	"2000"	"2000"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	42
	"California"	"06"	"2000"	"2000"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	31
	"California"	"06"	"2000"	"2000"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	51
	"California"	"06"	"2000"	"2000"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	50
	"California"	"06"	"2000"	"2000"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	64
	"California"	"06"	"2000"	"2000"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	33
	"California"	"06"	"2000"	"2000"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	50
	"California"	"06"	"2000"	"2000"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	27
	"California"	"06"	"2000"	"2000"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	36
	"Connecticut"	"09"	"2000"	"2000"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	16
	"Florida"	"12"	"1999"	"1999"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	22
	"Florida"	"12"	"1999"	"1999"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	23
	"Florida"	"12"	"1999"	"1999"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	32
	"Florida"	"12"	"1999"	"1999"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	31
	"Florida"	"12"	"1999"	"1999"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	55
	"Florida"	"12"	"1999"	"1999"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	43
	"Florida"	"12"	"1999"	"1999"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	62
	"Florida"	"12"	"1999"	"1999"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	38
	"Florida"	"12"	"1999"	"1999"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	44
