"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	Deaths
	"Alabama"	"01"	"1999"	"1999"	"75-79 years"	"75-79"	"Male"	"M"	18
	"Alabama"	"01"	"2000"	"2000"	"70-74 years"	"70-74"	"Male"	"M"	23
	"Alabama"	"01"	"2000"	"2000"	"75-79 years"	"75-79"	"Male"	"M"	21
	"Alabama"	"01"	"2001"	"2001"	"65-69 years"	"65-69"	"Male"	"M"	21
	"Alabama"	"01"	"2001"	"2001"	"70-74 years"	"70-74"	"Male"	"M"	23
	"Alabama"	"01"	"2002"	"2002"	"70-74 years"	"70-74"	"Male"	"M"	19
	"Alabama"	"01"	"2002"	"2002"	"75-79 years"	"75-79"	"Male"	"M"	17
	"Alabama"	"01"	"2002"	"2002"	"80-84 years"	"80-84"	"Male"	"M"	20
	"Alabama"	"01"	"2003"	"2003"	"65-69 years"	"65-69"	"Male"	"M"	19
	"Alabama"	"01"	"2003"	"2003"	"70-74 years"	"70-74"	"Male"	"M"	18
	"Alabama"	"01"	"2003"	"2003"	"75-79 years"	"75-79"	"Male"	"M"	23
	"Alabama"	"01"	"2003"	"2003"	"80-84 years"	"80-84"	"Male"	"M"	17
	"Alabama"	"01"	"2004"	"2004"	"65-69 years"	"65-69"	"Male"	"M"	20
	"Alabama"	"01"	"2004"	"2004"	"75-79 years"	"75-79"	"Male"	"M"	17
	"Alabama"	"01"	"2005"	"2005"	"70-74 years"	"70-74"	"Male"	"M"	22
	"Alabama"	"01"	"2005"	"2005"	"75-79 years"	"75-79"	"Male"	"M"	17
	"Alabama"	"01"	"2005"	"2005"	"80-84 years"	"80-84"	"Male"	"M"	18
	"Alabama"	"01"	"2006"	"2006"	"65-69 years"	"65-69"	"Male"	"M"	18
	"Alabama"	"01"	"2006"	"2006"	"70-74 years"	"70-74"	"Male"	"M"	17
	"Alabama"	"01"	"2006"	"2006"	"75-79 years"	"75-79"	"Male"	"M"	18
	"Alabama"	"01"	"2007"	"2007"	"75-79 years"	"75-79"	"Male"	"M"	17
	"Alabama"	"01"	"2007"	"2007"	"80-84 years"	"80-84"	"Male"	"M"	20
	"Alabama"	"01"	"2008"	"2008"	"55-59 years"	"55-59"	"Male"	"M"	16
	"Alabama"	"01"	"2008"	"2008"	"70-74 years"	"70-74"	"Male"	"M"	19
	"Alabama"	"01"	"2008"	"2008"	"75-79 years"	"75-79"	"Male"	"M"	25
	"Alabama"	"01"	"2008"	"2008"	"80-84 years"	"80-84"	"Male"	"M"	18
	"Alabama"	"01"	"2009"	"2009"	"70-74 years"	"70-74"	"Male"	"M"	16
	"Alabama"	"01"	"2009"	"2009"	"75-79 years"	"75-79"	"Male"	"M"	17
	"Alabama"	"01"	"2010"	"2010"	"70-74 years"	"70-74"	"Male"	"M"	17
	"Alabama"	"01"	"2010"	"2010"	"75-79 years"	"75-79"	"Male"	"M"	16
	"Alabama"	"01"	"2010"	"2010"	"85+ years"	"85+"	"Male"	"M"	19
	"Alabama"	"01"	"2011"	"2011"	"70-74 years"	"70-74"	"Male"	"M"	25
	"Alabama"	"01"	"2011"	"2011"	"75-79 years"	"75-79"	"Male"	"M"	20
