"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Ethnicity"	"Ethnicity Code"	Deaths
	"Alabama"	"01"	"1999"	"1999"	"60-64 years "	"60-64"	"Male"	"M"	"Non-Hispanic"	"2186-5"	17
	"Alabama"	"01"	"1999"	"1999"	"65-69 years"	"65-69"	"Female"	"F"	"Non-Hispanic"	"2186-5"	22
	"Alabama"	"01"	"1999"	"1999"	"65-69 years"	"65-69"	"Male"	"M"	"Non-Hispanic"	"2186-5"	26
	"Alabama"	"01"	"1999"	"1999"	"70-74 years"	"70-74"	"Female"	"F"	"Non-Hispanic"	"2186-5"	23
	"Alabama"	"01"	"1999"	"1999"	"70-74 years"	"70-74"	"Male"	"M"	"Non-Hispanic"	"2186-5"	22
	"Alabama"	"01"	"1999"	"1999"	"75-79 years"	"75-79"	"Female"	"F"	"Non-Hispanic"	"2186-5"	35
	"Alabama"	"01"	"1999"	"1999"	"75-79 years"	"75-79"	"Male"	"M"	"Non-Hispanic"	"2186-5"	26
	"Alabama"	"01"	"1999"	"1999"	"80-84 years"	"80-84"	"Female"	"F"	"Non-Hispanic"	"2186-5"	30
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	"Non-Hispanic"	"2186-5"	28
	"Alabama"	"01"	"2000"	"2000"	"60-64 years "	"60-64"	"Male"	"M"	"Non-Hispanic"	"2186-5"	20
	"Alabama"	"01"	"2000"	"2000"	"65-69 years"	"65-69"	"Male"	"M"	"Non-Hispanic"	"2186-5"	19
	"Alabama"	"01"	"2000"	"2000"	"70-74 years"	"70-74"	"Female"	"F"	"Non-Hispanic"	"2186-5"	28
	"Alabama"	"01"	"2000"	"2000"	"70-74 years"	"70-74"	"Male"	"M"	"Non-Hispanic"	"2186-5"	28
	"Alabama"	"01"	"2000"	"2000"	"75-79 years"	"75-79"	"Female"	"F"	"Non-Hispanic"	"2186-5"	39
	"Alabama"	"01"	"2000"	"2000"	"75-79 years"	"75-79"	"Male"	"M"	"Non-Hispanic"	"2186-5"	19
	"Alabama"	"01"	"2000"	"2000"	"80-84 years"	"80-84"	"Female"	"F"	"Non-Hispanic"	"2186-5"	28
	"Alabama"	"01"	"2000"	"2000"	"80-84 years"	"80-84"	"Male"	"M"	"Non-Hispanic"	"2186-5"	25
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Female"	"F"	"Non-Hispanic"	"2186-5"	27
	"Alabama"	"01"	"2001"	"2001"	"60-64 years "	"60-64"	"Female"	"F"	"Non-Hispanic"	"2186-5"	19
	"Alabama"	"01"	"2001"	"2001"	"65-69 years"	"65-69"	"Male"	"M"	"Non-Hispanic"	"2186-5"	26
	"Alabama"	"01"	"2001"	"2001"	"70-74 years"	"70-74"	"Female"	"F"	"Non-Hispanic"	"2186-5"	17
	"Alabama"	"01"	"2001"	"2001"	"70-74 years"	"70-74"	"Male"	"M"	"Non-Hispanic"	"2186-5"	37
	"Alabama"	"01"	"2001"	"2001"	"75-79 years"	"75-79"	"Female"	"F"	"Non-Hispanic"	"2186-5"	38
	"Alabama"	"01"	"2001"	"2001"	"75-79 years"	"75-79"	"Male"	"M"	"Non-Hispanic"	"2186-5"	19
	"Alabama"	"01"	"2001"	"2001"	"80-84 years"	"80-84"	"Female"	"F"	"Non-Hispanic"	"2186-5"	26
	"Alabama"	"01"	"2001"	"2001"	"80-84 years"	"80-84"	"Male"	"M"	"Non-Hispanic"	"2186-5"	21
	"Alabama"	"01"	"2001"	"2001"	"85+ years"	"85+"	"Female"	"F"	"Non-Hispanic"	"2186-5"	32
	"Alabama"	"01"	"2002"	"2002"	"55-59 years"	"55-59"	"Male"	"M"	"Non-Hispanic"	"2186-5"	23
	"Alabama"	"01"	"2002"	"2002"	"65-69 years"	"65-69"	"Male"	"M"	"Non-Hispanic"	"2186-5"	28
	"Alabama"	"01"	"2002"	"2002"	"70-74 years"	"70-74"	"Female"	"F"	"Non-Hispanic"	"2186-5"	27
	"Alabama"	"01"	"2002"	"2002"	"70-74 years"	"70-74"	"Male"	"M"	"Non-Hispanic"	"2186-5"	34
	"Alabama"	"01"	"2002"	"2002"	"75-79 years"	"75-79"	"Female"	"F"	"Non-Hispanic"	"2186-5"	24
	"Alabama"	"01"	"2002"	"2002"	"75-79 years"	"75-79"	"Male"	"M"	"Non-Hispanic"	"2186-5"	31
	"Alabama"	"01"	"2002"	"2002"	"80-84 years"	"80-84"	"Female"	"F"	"Non-Hispanic"	"2186-5"	33
	"Alabama"	"01"	"2002"	"2002"	"85+ years"	"85+"	"Female"	"F"	"Non-Hispanic"	"2186-5"	37
	"Alabama"	"01"	"2002"	"2002"	"85+ years"	"85+"	"Male"	"M"	"Non-Hispanic"	"2186-5"	20
	"Alabama"	"01"	"2003"	"2003"	"55-59 years"	"55-59"	"Male"	"M"	"Non-Hispanic"	"2186-5"	16
	"Alabama"	"01"	"2003"	"2003"	"60-64 years "	"60-64"	"Male"	"M"	"Non-Hispanic"	"2186-5"	20
	"Alabama"	"01"	"2003"	"2003"	"65-69 years"	"65-69"	"Male"	"M"	"Non-Hispanic"	"2186-5"	23
