"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Ethnicity"	"Ethnicity Code"	Deaths
	"Alabama"	"01"	"2011"	"2011"	"60-64 years "	"60-64"	"Male"	"M"	"Non-Hispanic"	"2186-5"	22
	"Alabama"	"01"	"2011"	"2011"	"65-69 years"	"65-69"	"Male"	"M"	"Non-Hispanic"	"2186-5"	18
	"Alabama"	"01"	"2011"	"2011"	"70-74 years"	"70-74"	"Female"	"F"	"Non-Hispanic"	"2186-5"	16
	"Alabama"	"01"	"2011"	"2011"	"70-74 years"	"70-74"	"Male"	"M"	"Non-Hispanic"	"2186-5"	32
	"Alabama"	"01"	"2011"	"2011"	"75-79 years"	"75-79"	"Female"	"F"	"Non-Hispanic"	"2186-5"	25
	"Alabama"	"01"	"2011"	"2011"	"75-79 years"	"75-79"	"Male"	"M"	"Non-Hispanic"	"2186-5"	37
	"Alabama"	"01"	"2011"	"2011"	"80-84 years"	"80-84"	"Female"	"F"	"Non-Hispanic"	"2186-5"	22
	"Alabama"	"01"	"2011"	"2011"	"80-84 years"	"80-84"	"Male"	"M"	"Non-Hispanic"	"2186-5"	26
	"Alabama"	"01"	"2011"	"2011"	"85+ years"	"85+"	"Female"	"F"	"Non-Hispanic"	"2186-5"	35
	"Alabama"	"01"	"2011"	"2011"	"85+ years"	"85+"	"Male"	"M"	"Non-Hispanic"	"2186-5"	26
	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	"Female"	"F"	"Non-Hispanic"	"2186-5"	16
	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	"Male"	"M"	"Non-Hispanic"	"2186-5"	16
	"Alabama"	"01"	"2012"	"2012"	"65-69 years"	"65-69"	"Male"	"M"	"Non-Hispanic"	"2186-5"	27
	"Alabama"	"01"	"2012"	"2012"	"70-74 years"	"70-74"	"Female"	"F"	"Non-Hispanic"	"2186-5"	26
	"Alabama"	"01"	"2012"	"2012"	"70-74 years"	"70-74"	"Male"	"M"	"Non-Hispanic"	"2186-5"	26
	"Alabama"	"01"	"2012"	"2012"	"75-79 years"	"75-79"	"Female"	"F"	"Non-Hispanic"	"2186-5"	25
	"Alabama"	"01"	"2012"	"2012"	"75-79 years"	"75-79"	"Male"	"M"	"Non-Hispanic"	"2186-5"	26
	"Alabama"	"01"	"2012"	"2012"	"80-84 years"	"80-84"	"Female"	"F"	"Non-Hispanic"	"2186-5"	24
	"Alabama"	"01"	"2012"	"2012"	"80-84 years"	"80-84"	"Male"	"M"	"Non-Hispanic"	"2186-5"	24
	"Alabama"	"01"	"2012"	"2012"	"85+ years"	"85+"	"Female"	"F"	"Non-Hispanic"	"2186-5"	42
	"Alabama"	"01"	"2012"	"2012"	"85+ years"	"85+"	"Male"	"M"	"Non-Hispanic"	"2186-5"	24
	"Alabama"	"01"	"2013"	"2013"	"60-64 years "	"60-64"	"Female"	"F"	"Non-Hispanic"	"2186-5"	17
	"Alabama"	"01"	"2013"	"2013"	"60-64 years "	"60-64"	"Male"	"M"	"Non-Hispanic"	"2186-5"	17
	"Alabama"	"01"	"2013"	"2013"	"65-69 years"	"65-69"	"Male"	"M"	"Non-Hispanic"	"2186-5"	20
	"Alabama"	"01"	"2013"	"2013"	"70-74 years"	"70-74"	"Female"	"F"	"Non-Hispanic"	"2186-5"	25
	"Alabama"	"01"	"2013"	"2013"	"70-74 years"	"70-74"	"Male"	"M"	"Non-Hispanic"	"2186-5"	19
	"Alabama"	"01"	"2013"	"2013"	"75-79 years"	"75-79"	"Female"	"F"	"Non-Hispanic"	"2186-5"	16
	"Alabama"	"01"	"2013"	"2013"	"75-79 years"	"75-79"	"Male"	"M"	"Non-Hispanic"	"2186-5"	28
	"Alabama"	"01"	"2013"	"2013"	"80-84 years"	"80-84"	"Female"	"F"	"Non-Hispanic"	"2186-5"	24
	"Alabama"	"01"	"2013"	"2013"	"80-84 years"	"80-84"	"Male"	"M"	"Non-Hispanic"	"2186-5"	30
	"Alabama"	"01"	"2013"	"2013"	"85+ years"	"85+"	"Female"	"F"	"Non-Hispanic"	"2186-5"	40
	"Alabama"	"01"	"2013"	"2013"	"85+ years"	"85+"	"Male"	"M"	"Non-Hispanic"	"2186-5"	28
	"Alabama"	"01"	"2014"	"2014"	"65-69 years"	"65-69"	"Female"	"F"	"Non-Hispanic"	"2186-5"	23
	"Alabama"	"01"	"2014"	"2014"	"65-69 years"	"65-69"	"Male"	"M"	"Non-Hispanic"	"2186-5"	19
